date,portfolio_daily_return,portfolio_cumulative_return
2020-01-03,-0.0010319421937560283,-0.0010319421937560191
2020-01-06,0.003735506396311906,0.00269970937589048
2020-01-07,-0.006588447396581722,-0.003906524913900311
2020-01-08,0.0057906800991020645,0.0018615337491261208
2020-01-09,0.005446858301976124,0.007318531561658181
2020-01-10,-0.008263739029426904,-0.0010056859026729148
2020-01-13,0.01016481446374939,0.009148905950467023
2020-01-14,-0.0038803153611623236,0.005233089949007397
2020-01-15,0.002986706202621546,0.00823542585383863
2020-01-16,0.012022865993466894,0.02035730526874535
2020-01-17,0.002958356267223607,0.023375885697594523
2020-01-21,-0.0062493881938640436,0.016980412519630894
2020-01-22,-0.004360686396164779,0.012545679869590431
2020-01-23,0.007216674744670641,0.01985289270533075
2020-01-24,-0.007093670818639629,0.012618392001041645
2020-01-27,-0.017224907141606443,-0.004823865771059088
2020-01-28,0.009476577427065463,0.004606997918529254
2020-01-29,-0.003389246511374059,0.0012021371555319682
2020-01-30,0.009140353708662313,0.010353478823002193
2020-01-31,-0.017956418877325263,-0.007788851456906443
2020-02-03,0.006220719734240899,-0.001616583984630493
2020-02-04,0.022998094799180885,0.02134433246282086
2020-02-05,0.010488910025479161,0.03205712127105653
2020-02-06,0.004270632979217785,0.036464658449593124
2020-02-07,-0.0005411424816418016,0.035903783392185584
2020-02-10,0.007815858843361516,0.04400026113848288
2020-02-11,0.010923821463092556,0.05540473359858167
2020-02-12,0.007084685718709607,0.06288194444216622
2020-02-13,-0.0032998339463824558,0.059374610520898985
2020-02-14,-0.0003183680145516304,0.05903733952948098
2020-02-18,0.00046496672499852414,0.05952975665289317
2020-02-19,0.0016939394530707072,0.06132453590938991
2020-02-20,-0.006115453772704959,0.054834054772198604
2020-02-21,-0.0006062840814808173,0.054194525676186434
2020-02-24,-0.028583555229653942,0.0240618982287224
2020-02-25,-0.0308504014569686,-0.007530822448418961
2020-02-26,0.0015697108499120452,-0.005972932812213005
2020-02-27,-0.03831488842942794,-0.04405896898734463
2020-02-28,-0.01563520070830681,-0.05900529887253325
2020-03-02,0.042910185715314776,-0.018627041490026586
2020-03-03,-0.028877723803414523,-0.0469668587340174
2020-03-04,0.040617878226311535,-0.008256674656436536
2020-03-05,-0.032744029607637046,-0.04073034746466253
2020-03-06,-0.014234534451211305,-0.054385104381678206
2020-03-09,-0.08538454431979513,-0.13512600134605923
2020-03-10,0.04725424118753404,-0.09425703681683895
2020-03-11,-0.04632145979730713,-0.13621237307262157
2020-03-12,-0.0991346150621795,-0.22184362696354076
2020-03-13,0.09219729059784891,-0.15009971770813013
2020-03-16,-0.12069629514500367,-0.2526795330234516
2020-03-17,0.06683677324297232,-0.20273104443230794
2020-03-18,-0.05766272942294263,-0.24870374849451982
2020-03-19,0.018451391856723037,-0.23484128695750506
