ticker,average_daily_return,daily_volatility,max_drawdown,annualized_volatility,sharpe_ratio
AAPL,0.001036449495371666,0.019898814270055108,-0.3142725070514985,0.3158838836617745,0.82683950129383
ADAP,0.0013583783615749238,0.08442535199578084,-0.9768595047632477,1.3402109143795604,0.2554160270179199
AGCO,0.0005798764703567747,0.025061015565230042,-0.5196259070153183,0.397831288729905,0.36731366956186506
BA,3.428675832629914e-05,0.031845590890561354,-0.7249236475234281,0.5055330831019758,0.01709139003368544
BG,0.0005203312911279317,0.02087937280791356,-0.4731202049077639,0.331449767884462,0.3956059049344284
CALM,0.0009230036324025059,0.020880219533524876,-0.3016407546169361,0.3314632092368395,0.7017276997376644
CAT,0.0009062533579155499,0.02035755263653777,-0.37846800589452806,0.3231661294691173,0.7066824935208529
CSCO,0.00043144832638921884,0.017009719093907204,-0.3667504967752823,0.27002091956127233,0.4026539070629734
CVX,0.0006577028394990483,0.022125556426563036,-0.5467009434065156,0.3512323195416764,0.4718845798986723
DDOG,0.001476223844187825,0.03691044537033987,-0.6810643090895334,0.585935155383328,0.6348968914349544
DE,0.0010188461243645795,0.02078754625370482,-0.3741555317878942,0.3299920665273321,0.7780466543992154
GRWG,0.0006925937692815497,0.05743939512325249,-0.9849334165004846,0.911822129724614,0.19141192582336505
HUM,5.6655426658407706e-05,0.02282719327185674,-0.5775009871768201,0.3623704591616387,0.03939936922824684
IBKR,0.0012506273631710738,0.022062851241454275,-0.379905553044072,0.35023690558740406,0.8998426222117838
IEX,0.00022240584027046116,0.016590934834648456,-0.3552400181719073,0.26337292554335007,0.21280194853943424
JPM,0.0007299411037424122,0.020303448556445742,-0.4306197244245472,0.32230725382409275,0.5707136775875375
KO,0.00037961217800532135,0.013103010910301763,-0.369875268242044,0.20800384976894715,0.4599062419450584
LMT,0.0003193226254443338,0.016586573557518934,-0.36674262756645604,0.26330369241525,0.30561402642643504
MS,0.001017063491987449,0.02245107170488536,-0.5132583968434,0.3563997143880335,0.7191363787171506
MSCI,0.0008654494279334423,0.022619955568290682,-0.43744843933938066,0.35908066260616717,0.6073656382839753
MSFT,0.0008974045653222287,0.019104417028248544,-0.37148494424644457,0.3032732183976797,0.7456838808781932
NFLX,0.0012368169054515863,0.028537689863497938,-0.7594731823071542,0.4530217822266261,0.6879975144724533
OSK,0.0003332232035846638,0.022860846689018107,-0.4828673549781936,0.36290469059709757,0.23138925860994883
PFE,5.799277269264409e-05,0.017117399271018078,-0.5481803283134097,0.27173028937987287,0.05378192748367488
PG,0.00041488962610367053,0.013178070422719679,-0.2377246969972479,0.20919538258927256,0.499782473609369
SPY,0.0005671993524477413,0.013110417114726512,-0.33717270395719207,0.2081214196193479,0.6867829225759472
TMUS,0.0010667824530869194,0.017296204807168432,-0.3198580388550389,0.2745687392700453,0.979096086803616
